url;perfume;brand;country;gender;rating value;rating count;year;top;middle;base;perfumer1;perfumer2;mainaccord1;mainaccord2;mainaccord3;mainaccord4;mainaccord5;image_url
https://www.fragrantica.com/perfume/xerjoff/accento-overdose-pride-edition-74630.html;accento-overdose-pride-edition;xerjoff;Italy;unisex;1.42;201;2022.0;fruity notes, aldehydes, green notes;bulgarian rose, egyptian jasmine, lily-of-the-valley;eucalyptus, pine;unknown;;rose;woody;fruity;aromatic;floral;https://fimgs.net/mdimg/perfume-thumbs/375x500.74630.jpg
https://www.fragrantica.com/perfume/jean-paul-gaultier/classique-pride-2024-90394.html;classique-pride-2024;jean-paul-gaultier;France;women;1.86;70;2024.0;yuzu, citruses;orange blossom, neroli;musk, blonde woods;unknown;;citrus;white floral;sweet;fresh;musky;https://fimgs.net/mdimg/perfume-thumbs/375x500.90394.jpg
https://www.fragrantica.com/perfume/jean-paul-gaultier/classique-pride-2023-81775.html;classique-pride-2023;jean-paul-gaultier;France;unisex;1.91;285;2023.0;blood orange, yuzu;neroli, orange blossom;musk, white woods;natalie gracia-cetto;quentin bisch;citrus;white floral;sweet;fresh spicy;musky;https://fimgs.net/mdimg/perfume-thumbs/375x500.81775.jpg
https://www.fragrantica.com/perfume/bruno-banani/pride-edition-man-55514.html;pride-edition-man;bruno-banani;Germany;men;1.92;59;2019.0;guarana, grapefruit, red apple;walnut, lavender, guava;vetiver, benzoin, amber;unknown;;fruity;nutty;woody;tropical;;https://fimgs.net/mdimg/perfume-thumbs/375x500.55514.jpg
https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-pride-collector-60765.html;le-male-pride-collector;jean-paul-gaultier;France;men;1.93;632;2020.0;mint, lavender, cardamom, artemisia, bergamot;caraway, cinnamon, orange blossom;vanilla, sandalwood, amber, cedar, tonka bean;francis kurkdjian;;aromatic;warm spicy;fresh spicy;cinnamon;vanilla;https://fimgs.net/mdimg/perfume-thumbs/375x500.60765.jpg
https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-pride-2023-81774.html;le-male-pride-2023;jean-paul-gaultier;France;men;1.95;531;2023.0;yuzu, blood orange;neroli, orange blossom;musk, white woods;unknown;;citrus;white floral;sweet;fresh spicy;green;https://fimgs.net/mdimg/perfume-thumbs/375x500.81774.jpg
https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-pride-2024-90393.html;le-male-pride-2024;jean-paul-gaultier;France;men;1.95;285;2024.0;citruses, yuzu;neroli, orange blossom;woodsy notes, musk;unknown;;white floral;citrus;fresh;soapy;;https://fimgs.net/mdimg/perfume-thumbs/375x500.90393.jpg
https://www.fragrantica.com/perfume/ralph-lauren/polo-red-pride-edition-62728.html;polo-red-pride-edition;ralph-lauren;USA;men;2.05;107;2020.0;cranberry, pink grapefruit, citron;clary sage, lavender, saffron;amberwood, brazilian redwood, coffee;olivier gillotin;;woody;amber;citrus;warm spicy;aromatic;https://fimgs.net/mdimg/perfume-thumbs/375x500.62728.jpg
https://www.fragrantica.com/perfume/ralph-lauren/ralph-pride-edition-62727.html;ralph-pride-edition;ralph-lauren;USA;women;2.12;50;2020.0;tangerine, green apple, freesia;magnolia, lime (linden blossom), osmanthus;musk, white iris;alain alchenberger;;citrus;fruity;floral;sweet;green;https://fimgs.net/mdimg/perfume-thumbs/375x500.62727.jpg
https://www.fragrantica.com/perfume/we-pink/waffle-93845.html;waffle;we-pink;Brazil;women;2.41;27;2023.0;strawberry, almond, raspberry;butter, peach blossom, violet;praline, vanilla, musk;unknown;;powdery;musky;violet;fruity;fresh;https://fimgs.net/mdimg/perfume-thumbs/375x500.93845.jpg
https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-pride-edition-73607.html;le-male-pride-edition;jean-paul-gaultier;France;men;2.53;662;2022.0;blood orange, yuzu;neroli, orange blossom;musk, white woods;natalie gracia-cetto;quentin bisch;citrus;white floral;fresh spicy;sweet;musky;https://fimgs.net/mdimg/perfume-thumbs/375x500.73607.jpg
https://www.fragrantica.com/perfume/vivamor-parfums/rouge-imperiale-81650.html;rouge-imperiale;vivamor-parfums;France;unisex;2.62;26;2023.0;saffron, bulgarian rose;australian sandalwood, iris, jasmine;suede, bourbon vanilla, texas cedar;chris maurice;;leather;warm spicy;rose;powdery;metallic;https://fimgs.net/mdimg/perfume-thumbs/375x500.81650.jpg
https://www.fragrantica.com/perfume/brocard/cherry-lady-45795.html;cherry-lady;brocard;Russia;women;2.64;39;;watermelon, mango, papaya, pineapple, peach, lemon;lotus, hibiscus;musk, sandalwood, amber;unknown;;fruity;tropical;sweet;ozonic;aquatic;https://fimgs.net/mdimg/perfume-thumbs/375x500.45795.jpg
https://www.fragrantica.com/perfume/bybozo/french-kiss-83935.html;french-kiss;bybozo;France;women;2.65;26;2023.0;lemon verbena, neroli;fig, corn, magnolia, saffron, barberry, cherry blossom;pear wood, meringue, amber;unknown;;fruity;woody;sweet;floral;citrus;https://fimgs.net/mdimg/perfume-thumbs/375x500.83935.jpg
https://www.fragrantica.com/perfume/sospiro-perfumes/erba-oud-75943.html;erba-oud;sospiro-perfumes;Italy;unisex;2.66;65;2022.0;orange, bergamot, lemon;melon, saffron, peach, apple;agarwood (oud), leather, vanilla, amber, white musk;christian provenzano;;citrus;oud;fruity;leather;sweet;https://fimgs.net/mdimg/perfume-thumbs/375x500.75943.jpg
https://www.fragrantica.com/perfume/trump/donald-trump-22530.html;donald-trump;trump;USA;men;2.68;569;2004.0;cucumber, black basil, mint, citruses;spicy notes, pepper, herbal notes, woody notes;spicy notes, exotic woods, vetiver;annie buzantian;;green;fresh spicy;aromatic;ozonic;aquatic;https://fimgs.net/mdimg/perfume-thumbs/375x500.22530.jpg
https://www.fragrantica.com/perfume/rook-perfumes/school-71048.html;school;rook-perfumes;UK;unisex;2.68;28;2021.0;concrete, woody notes, ozonic notes, moss;rubber, paper, olibanum;coffee, cedar;nadeem crowe;;rubber;mineral;paper;woody;;https://fimgs.net/mdimg/perfume-thumbs/375x500.71048.jpg
https://www.fragrantica.com/perfume/o-boticario/glamour-gold-glam-75017.html;glamour-gold-glam;o-boticario;Brazil;women;2.69;118;2022.0;raspberry, neroli, bergamot;jasmine, orange blossom, tuberose;clearwood, amber, sandalwood, patchouli, cistus incanus;adilson rato;;woody;white floral;fruity;sweet;amber;https://fimgs.net/mdimg/perfume-thumbs/375x500.75017.jpg
https://www.fragrantica.com/perfume/clean/clean-simply-soap-5899.html;clean-simply-soap;clean;USA;women;2.71;143;2009.0;bergamot, frangipani;lotus, violet, rose;musk;unknown;;floral;powdery;citrus;musky;violet;https://fimgs.net/mdimg/perfume-thumbs/375x500.5899.jpg
https://www.fragrantica.com/perfume/michael-malul-london/visionair-midnight-blue-62601.html;visionair-midnight-blue;michael-malul-london;USA;men;2.71;42;2020.0;watermelon, lavender, bergamot;lotus, jasmine;musk, sandalwood, amber;unknown;;ozonic;aquatic;lavender;citrus;floral;https://fimgs.net/mdimg/perfume-thumbs/375x500.62601.jpg
https://www.fragrantica.com/perfume/o-boticario/malbec-sport-41727.html;malbec-sport;o-boticario;Brazil;men;2.72;299;2016.0;nutmeg, cardamom, lime, bergamot, mandarin orange, juniper;lavender, geranium, head space waterfall, sage;leather, patchouli, sandalwood, musk, amber, cedar, moss, vetiver, tonka bean;francisco marano;;leather;fresh spicy;warm spicy;woody;aromatic;https://fimgs.net/mdimg/perfume-thumbs/375x500.41727.jpg
https://www.fragrantica.com/perfume/filippo-sorcinelli/cyber-sex-67616.html;cyber-sex;filippo-sorcinelli;Italy;unisex;2.74;70;2021.0;juniper berries, pink grapefruit, mandarin orange, neroli;rosemary, spices, cyclamen, lavender, almond blossom;ambrette (musk mallow), vetiver, cedar, precious woods, vanilla, tonka bean;unknown;;aromatic;fresh spicy;woody;citrus;musky;https://fimgs.net/mdimg/perfume-thumbs/375x500.67616.jpg
https://www.fragrantica.com/perfume/jean-paul-gaultier/classique-pride-edition-73288.html;classique-pride-edition;jean-paul-gaultier;France;women;2.75;174;2022.0;yuzu, blood orange;neroli, orange blossom;musk, white wood;natalie gracia-cetto;quentin bisch;citrus;white floral;musky;woody;fresh spicy;https://fimgs.net/mdimg/perfume-thumbs/375x500.73288.jpg
https://www.fragrantica.com/perfume/navitus-parfums/oud-imperium-60637.html;oud-imperium;navitus-parfums;UAE;unisex;2.81;62;2019.0;apple, lavender, lemon;jasmine, vanilla, woody notes, lily-of-the-valley;agarwood (oud), amber, tonka bean, sandalwood, cypriol oil or nagarmotha, musk, guaiac wood;christian carbonnel;;woody;vanilla;amber;powdery;oud;https://fimgs.net/mdimg/perfume-thumbs/375x500.60637.jpg
https://www.fragrantica.com/perfume/franck-boclet/vetiver-49353.html;vetiver;franck-boclet;France;unisex;2.81;32;2018.0;bergamot, lemon, orange;vetiver, orange blossom, lily-of-the-valley, rose, jasmine;vetiver, musk, sandalwood, cedar, chive;bruno herve;;citrus;white floral;woody;aromatic;musky;https://fimgs.net/mdimg/perfume-thumbs/375x500.49353.jpg
https://www.fragrantica.com/perfume/ricardo-ramos-perfumes-de-autor/cristina-la-veneno-veneno-pa-tu-piel-66074.html;cristina-la-veneno-veneno-pa-tu-piel;ricardo-ramos-perfumes-de-autor;Spain;unisex;2.82;55;2020.0;tonic water, gin, berry fruits;vinyl, blood, saffron, turkish rose;madagascar vanilla, musk, galbanum, sandalwood;jorge lee;ricardo ramos;vinyl;mineral;metallic;aromatic;;https://fimgs.net/mdimg/perfume-thumbs/375x500.66074.jpg
https://www.fragrantica.com/perfume/filippo-sorcinelli/quickie-and-coffee-90649.html;quickie-and-coffee;filippo-sorcinelli;Italy;unisex;2.82;33;2024.0;coffee, honey, pine;animal notes, saffron, marine notes, jasmine;musk, ambrette, amber;filippo sorcinelli;;musky;warm spicy;animalic;coffee;powdery;https://fimgs.net/mdimg/perfume-thumbs/375x500.90649.jpg
https://www.fragrantica.com/perfume/faberlic/orangerie-mimosa-19311.html;orangerie-mimosa;faberlic;Russia;women;2.83;52;2003.0;mimosa;red lily;iris, tonka bean;thomas fontaine;;yellow floral;powdery;floral;sweet;white floral;https://fimgs.net/mdimg/perfume-thumbs/375x500.19311.jpg
https://www.fragrantica.com/perfume/in-the-box/aventhis-64328.html;aventhis;in-the-box;Brazil;men;2.83;65;2019.0;bergamot, pineapple, apple, black currant leaf;birch, patchouli, red berries, jasmine;oakmoss, musk, amber, vanilla;unknown;;fruity;mossy;woody;earthy;citrus;https://fimgs.net/mdimg/perfume-thumbs/375x500.64328.jpg
https://www.fragrantica.com/perfume/carolina-herrera/212-heroes-collector-edition-90277.html;212-heroes-collector-edition;carolina-herrera;USA;men;2.84;31;2023.0;pear, cannabis, lemon zest, ginger;african geranium;leather, woodsy notes;unknown;;leather;woody;aromatic;citrus;cannabis;https://fimgs.net/mdimg/perfume-thumbs/375x500.90277.jpg
